Date,Month,Year,Area,Property_type,Bedroom,Sale_Price,Price_per_sqft,Rent
1/04/2019,April,2019,Dubai Marina,Apartment,1,"1,000,000","1,152","75,000"
1/05/2019,May,2019,Dubai Marina,Apartment,1,"945,000","1,166","80,000"
1/06/2019,June,2019,Dubai Marina,Apartment,1,"860,000","1,047","76,750"
1/07/2019,July,2019,Dubai Marina,Apartment,1,"800,000",966,"75,000"
1/08/2019,August,2019,Dubai Marina,Apartment,1,"760,000",806,"73,000"
1/09/2019,September,2019,Dubai Marina,Apartment,1,"963,500","1,176","72,000"
1/10/2019,October,2019,Dubai Marina,Apartment,1,"1,030,000","1,272","77,500"
1/11/2019,November,2019,Dubai Marina,Apartment,1,"1,000,000","1,253","70,000"
1/12/2019,December,2019,Dubai Marina,Apartment,1,"950,000","1,134","70,000"
1/01/2020,January,2020,Dubai Marina,Apartment,1,"937,500","1,142","75,000"
1/02/2020,February,2020,Dubai Marina,Apartment,1,"975,000","1,145","77,000"
1/03/2020,March,2020,Dubai Marina,Apartment,1,"1,020,000","1,237","65,000"
1/04/2020,April,2020,Dubai Marina,Apartment,1,"810,000","1,244","64,000"
1/05/2020,May,2020,Dubai Marina,Apartment,1,"900,000","1,128","73,000"
1/06/2020,June,2020,Dubai Marina,Apartment,1,"900,000","1,027","66,000"
1/07/2020,July,2020,Dubai Marina,Apartment,1,"743,447",906,"65,000"
1/08/2020,August,2020,Dubai Marina,Apartment,1,"925,000","1,008","70,000"
1/09/2020,September,2020,Dubai Marina,Apartment,1,"810,000",969,"58,000"
1/10/2020,October,2020,Dubai Marina,Apartment,1,"750,000","1,005","60,000"
1/11/2020,November,2020,Dubai Marina,Apartment,1,"800,000",942,"62,000"
1/12/2020,December,2020,Dubai Marina,Apartment,1,"950,000","1,014","62,000"
1/01/2021,January,2021,Dubai Marina,Apartment,1,"800,000",950,"60,000"
1/02/2021,February,2021,Dubai Marina,Apartment,1,"1,030,000","1,212","62,500"
1/03/2021,March,2021,Dubai Marina,Apartment,1,"1,050,000","1,178","60,900"
1/04/2019,April,2019,Dubai Marina,Apartment,2,"1,420,000","1,086","125,000"
1/05/2019,May,2019,Dubai Marina,Apartment,2,"1,500,000","1,086","120,000"
1/06/2019,June,2019,Dubai Marina,Apartment,2,"1,338,400","1,092","107,500"
1/07/2019,July,2019,Dubai Marina,Apartment,2,"1,025,000",848,"100,000"
1/08/2019,August,2019,Dubai Marina,Apartment,2,"1,450,000","1,002","100,000"
1/09/2019,September,2019,Dubai Marina,Apartment,2,"1,265,000","1,093","101,500"
1/10/2019,October,2019,Dubai Marina,Apartment,2,"1,300,000","1,053","119,999"
1/11/2019,November,2019,Dubai Marina,Apartment,2,"1,450,000","1,107","110,000"
1/12/2019,December,2019,Dubai Marina,Apartment,2,"1,450,000","1,134","110,000"
1/01/2020,January,2020,Dubai Marina,Apartment,2,"1,366,240","1,113","115,000"
1/02/2020,February,2020,Dubai Marina,Apartment,2,"1,575,000","1,144","122,500"
1/03/2020,March,2020,Dubai Marina,Apartment,2,"1,750,000","1,257","105,000"
1/04/2020,April,2020,Dubai Marina,Apartment,2,"1,425,000",998,"85,000"
1/05/2020,May,2020,Dubai Marina,Apartment,2,"1,587,500","1,100","100,000"
1/06/2020,June,2020,Dubai Marina,Apartment,2,"1,287,500",944,"93,500"
1/07/2020,July,2020,Dubai Marina,Apartment,2,"1,100,000",977,"97,500"
1/08/2020,August,2020,Dubai Marina,Apartment,2,"1,550,000",892,"97,500"
1/09/2020,September,2020,Dubai Marina,Apartment,2,"1,270,000",906,"102,000"
1/10/2020,October,2020,Dubai Marina,Apartment,2,"1,175,000",897,"100,000"
1/11/2020,November,2020,Dubai Marina,Apartment,2,"1,190,000",901,"90,000"
1/12/2020,December,2020,Dubai Marina,Apartment,2,"1,415,000","1,045","80,000"
1/01/2021,January,2021,Dubai Marina,Apartment,2,"1,295,000",887,"95,500"
1/02/2021,February,2021,Dubai Marina,Apartment,2,"1,630,000","1,115","85,000"
1/03/2021,March,2021,Dubai Marina,Apartment,2,"1,500,000","1,020","106,000"
1/04/2019,April,2019,Dubai Marina,Apartment,3,"2,601,875","1,073","155,000"
1/05/2019,May,2019,Dubai Marina,Apartment,3,"2,037,500","1,021","155,000"
1/06/2019,June,2019,Dubai Marina,Apartment,3,"2,500,000","1,042","180,000"
1/07/2019,July,2019,Dubai Marina,Apartment,3,"2,100,000",939,"110,000"
1/08/2019,August,2019,Dubai Marina,Apartment,3,"1,800,000",722,"140,000"
1/09/2019,September,2019,Dubai Marina,Apartment,3,"2,115,571",861,"140,000"
1/10/2019,October,2019,Dubai Marina,Apartment,3,"2,200,000",989,"160,000"
1/11/2019,November,2019,Dubai Marina,Apartment,3,"2,284,235","1,145","160,000"
1/12/2019,December,2019,Dubai Marina,Apartment,3,"1,800,000",865,"150,000"
1/01/2020,January,2020,Dubai Marina,Apartment,3,"1,812,310",942,"160,000"
1/02/2020,February,2020,Dubai Marina,Apartment,3,"2,250,000","1,181","142,500"
1/03/2020,March,2020,Dubai Marina,Apartment,3,"2,100,000","1,139","172,500"
1/04/2020,April,2020,Dubai Marina,Apartment,3,"2,200,000","1,149","150,000"
1/05/2020,May,2020,Dubai Marina,Apartment,3,"2,065,000",922,"125,000"
1/06/2020,June,2020,Dubai Marina,Apartment,3,"2,000,000","1,050","120,000"
1/07/2020,July,2020,Dubai Marina,Apartment,3,"1,723,000",815,"151,500"
1/08/2020,August,2020,Dubai Marina,Apartment,3,"1,700,000",916,"150,000"
1/09/2020,September,2020,Dubai Marina,Apartment,3,"2,475,000","1,110","125,000"
1/10/2020,October,2020,Dubai Marina,Apartment,3,"1,713,961",768,"130,000"
1/11/2020,November,2020,Dubai Marina,Apartment,3,"2,000,000",960,"140,000"
1/12/2020,December,2020,Dubai Marina,Apartment,3,"2,275,000",952,"90,000"
1/01/2021,January,2021,Dubai Marina,Apartment,3,"2,330,000","1,151","150,000"
1/02/2021,February,2021,Dubai Marina,Apartment,3,"1,875,000",821,"120,000"
1/03/2021,March,2021,Dubai Marina,Apartment,3,"2,420,000","1,119","94,000"
1/04/2019,April,2019,Dubai Marina,Apartment,4,"7,505,000","1,896","460,000"
1/05/2019,May,2019,Dubai Marina,Apartment,4,"2,925,000",968,"490,500"
1/06/2019,June,2019,Dubai Marina,Apartment,4,"3,200,000","1,007","527,500"
1/07/2019,July,2019,Dubai Marina,Apartment,4,"1,698,000",657,"561,440"
1/08/2019,August,2019,Dubai Marina,Apartment,4,"3,850,000",648,"600,000"
1/09/2019,September,2019,Dubai Marina,Apartment,4,"6,032,000","1,379","130,000"
1/10/2019,October,2019,Dubai Marina,Apartment,4,"2,000,000",830,"265,000"
1/11/2019,November,2019,Dubai Marina,Apartment,4,"5,700,660","1,407","315,000"
1/12/2019,December,2019,Dubai Marina,Apartment,4,"2,038,000",777,"200,000"
1/01/2020,January,2020,Dubai Marina,Apartment,4,"2,400,000",822,"140,000"
1/02/2020,February,2020,Dubai Marina,Apartment,4,"6,712,825","1,378","225,000"
1/03/2020,March,2020,Dubai Marina,Apartment,4,"8,850,000","1,111","250,000"
