"first_date_of_month","all_monthly_index","all_quarterly_index","all_yearly_index","flat_monthly_index","flat_quarterly_index","flat_yearly_index","villa_monthly_index","villa_quarterly_index","villa_yearly_index","all_monthly_price_index","all_quarterly_price_index","all_yearly_price_index","flat_monthly_price_index","flat_quarterly_price_index","flat_yearly_price_index","villa_monthly_price_index","villa_quarterly_price_index","villa_yearly_price_index"
"01-02-2021","1.071",null,null,"1.125",null,null,"0.924",null,null,"1004652.000",null,null,"944982.000",null,null,"1760377.000",null,null
"01-03-2011","1.019",null,null,"1.034",null,null,"1.035",null,null,"992984.000",null,null,"973739.000",null,null,"1612610.000",null,null
"01-04-2011","1.018",null,null,"1.032",null,null,"1.016",null,null,"1000907.000",null,null,"981915.000",null,null,"1583663.000",null,null
"01-05-2011","1.014",null,null,"1.028",null,null,"1.000",null,null,"999286.000",null,null,"980076.000",null,null,"1561449.000",null,null
"01-06-2011","1.012","1.017",null,"1.025","1.031",null,"0.991","1.001",null,"999859.000","989478.000",null,"980184.000","969028.000",null,"1544682.000","1599180.000",null
"01-07-2011","1.013",null,null,"1.025",null,null,"0.973",null,null,"1001834.000",null,null,"982178.000",null,null,"1521754.000",null,null
"01-08-2011","1.014",null,null,"1.025",null,null,"0.957",null,null,"1000761.000",null,null,"980719.000",null,null,"1507300.000",null,null
"01-09-2011","1.016","1.015",null,"1.024","1.026",null,"0.961","0.982",null,"999954.000","999458.000",null,"979296.000","977668.000",null,"1523298.000","1564472.000",null
"01-10-2011","1.015",null,null,"1.020",null,null,"0.966",null,null,"994141.000",null,null,"971100.000",null,null,"1541817.000",null,null
"01-11-2011","1.011",null,null,"1.014",null,null,"0.979",null,null,"984699.000",null,null,"960489.000",null,null,"1565821.000",null,null
"01-12-2011","1.009","1.012",null,"1.009","1.016",null,"0.991","0.987",null,"973849.000","985874.000",null,"947349.000","960267.000",null,"1592240.000","1597439.000",null
"01-01-2012","1.000",null,null,"1.000",null,null,"1.000",null,null,"959293.000",null,null,"932485.000",null,null,"1620570.000",null,null
"01-02-2012","0.994",null,null,"0.993",null,null,"1.014",null,null,"955212.000",null,null,"926625.000",null,null,"1657369.000",null,null
"01-03-2012","0.990","1.000",null,"0.991","1.000",null,"1.014","1.000",null,"946412.000","962783.000",null,"917718.000","934524.000",null,"1669338.000","1646567.000",null
"01-04-2012","0.987",null,null,"0.987",null,null,"1.031",null,null,"943051.000",null,null,"913119.000",null,null,"1704810.000",null,null
