chainid,chain_name
654,Ban Berry
1774,Sushi Art
2894,The Light House Amwaj Cafe
3950,Burger Joint
5070,Code 52
6222,Bon Bon Bakery
7374,Churro Mia Cafe
8494,Hamborghini
9550,Shi Shi Burger
904,Brownie Bear
1960,Astoria
3048,Al Ajaweed Restaurant
4232,Dietlicious Restaurant
5352,Sky Burger
6536,Broccoli Pizza & Pasta
7624,Jones The Grocer
8680,Ojeda Food Court
9736,McDonald's Breakfast
870,Al Zaafranee
2022,Banana Restaurant
3270,THE LAST PIZZA
4358,Curry Tree
5478,Al Reef Al Shami Restaurant And Sweets
6534,Fatayerji Al Shemokh
7750,Hadramout El Hadramy
8902,Subway
10054,Vevey
1026,Mole Pizza
2114,Amro For Vegetables And Fruits
3298,Shanghai Garden
4354,House Of Corn
5378,Al Fanoos Restaurant
6466,Thai Express
7490,KAI Asian Diner
8610,Al Baron Restaurant
9762,Alshabrawi Alasli
1124,Al Razy Pharmacy L.L.C
2340,Avotaco
3364,Ward O Kabab
4516,Bin Kulaib Kitchen
5572,Chef & Dish Restaurant
6628,Tobasco's
7684,Samya's Kitchen
8740,ChickAsta
9892,Pizza Point
1,McDonald's
1121,Abo Alaebd
2241,Lugano restaurant and cafe
3329,Le Melange
4545,El Ref El Masri
5665,Shakshak
6817,Tandoor
8001,Quick Burger
9057,Three Lines Restaurant
10081,Rakoon Indian Food
871,The Chocolate Cafe
1959,Kashounat Al Bait
3047,Burger Ajeeb
4103,Fresh Chicken King
5191,Otantik Cafe & Resturant
6567,Bait Reema
7719,Dynamite Box Cafe
8871,Lobester And Caviare Seafood Restaurant
9959,Qasr Diet Restaurant
469,Sayed gaber
1525,Jamalon
2677,Freez
3765,Al Yemen Al Saeed Land Restaurant
4821,Nando's
6037,The NutriBox
7189,Ghamdan Restaurant
8245,Menu Pizza
9429,Jio Chicken
10549,Rajasthan Al Malaki Restaurant
343,Danial Restaurant
1431,Saray Burger
2551,Welad El Akaber
3735,Sinless
4791,La Pasta
5847,Slice
6903,Palestine Foul W Flafel Restaurant
8023,Tarboush Xpress
9143,JUNKYARD
10199,Trace
498,Zaatar W Zeit
1586,Marble Slab Creamery
2770,Singary Fish
3922,Atyab Saj
5010,Konbela El Mamalek - Tagammoa 5
6226,Cinnzeo
7378,Sushi Time
8498,Goodies
9586,Melenzane
312,New Antar Cafeteria
1464,Habeba
2552,Coco's Blender
3672,Number One
4696,Chocola - El Mashaya
5816,Tosh Toshin
6872,Stack Restaurant
7992,Flames of Flavors
9144,Shell Select
10200,Capsica
529,Zaher Patisserie & Dairy
1649,El Chef Wika
2737,Mix N Match
3857,Food Box
5009,Love Maltenz Sweets
6097,Brew & Chew
7153,Koshari Factory
