countryid,chainid,customerid,orderid
2,3880,91293,562
3,5434,10509,1586
1,791,70781,2610
4,689,61788,3634
1,9734,101455,4658
2,2911,16589,5682
3,1919,62071,6706
1,7132,63098,7730
4,8739,83404,8754
4,2852,12759,9778
3,4999,85656,10802
1,6593,54447,11826
4,3852,23360,12850
2,4531,61788,13874
2,10021,80045,14898
4,1633,63195,15922
2,8727,61788,16946
2,1969,61788,17970
1,5436,23195,18994
4,4164,87485,20018
3,5112,46987,21042
1,7132,15779,22066
2,1917,85485,23090
1,2005,86881,24114
2,1917,65038,25138
8,2985,15795,26162
2,7451,75012,27186
1,7132,2987,28210
2,7203,14996,29234
1,5436,61788,30258
2,2117,64762,31282
2,2560,61788,32306
3,4803,55401,33330
6,7456,86382,34354
3,5403,54171,35378
2,10001,61788,36402
2,4486,86860,37426
2,2252,19680,38450
3,1922,36944,39474
2,5882,47900,40498
2,2563,11467,41522
1,9686,91657,42546
1,7773,55153,43570
4,7457,77439,44594
2,6804,7764,45618
2,10042,61788,46642
1,2599,16422,47666
4,4,104643,48690
3,780,96874,49714
2,10005,49902,50738
8,6168,81306,51762
4,1948,72683,52786
2,4530,91477,53810
4,2235,104017,54834
6,1295,61713,55858
8,1,28401,56882
8,4883,61788,57906
8,10056,84315,58930
4,1101,14104,59954
7,2776,80096,60978
4,9745,62385,62002
2,1917,61788,63026
2,10005,103707,64050
2,3213,31026,65074
2,4525,61788,66098
6,2,41578,67122
6,677,69913,68146
1,7132,67072,69170
4,4164,61788,70194
2,651,53945,71218
4,10000,58193,72242
2,1952,4786,73266
2,1917,890,74290
2,8568,51135,75314
6,6323,104340,76338
2,4809,33629,77362
2,6810,61788,78386
4,9076,96338,79410
1,5436,7165,80434
6,5806,46391,81458
4,957,94149,82482
4,4171,75962,83506
2,9038,25079,84530
4,4089,48283,85554
2,3594,4292,86578
2,9038,22431,87602
2,7691,54344,88626
4,5437,51496,89650
3,8721,35704,90674
8,5428,83154,91698
2,1917,63110,92722
2,2560,12552,93746
1,975,2882,94770
6,1637,46989,95794
4,4170,87122,96818
1,8195,4231,97842
2,14,40587,98866
